CSC Assignments
PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10
1714202,100,100,100,96,94,100,100,77,75
1714236,100,100,100,0,65,71,53,64,0
1714332,0,0,0,0,0,0,0,0,0
1714694,70,10,55,51,0,62,0,30,35
1714733,100,96,100,94,97,45,100,70,62
1714854,100,100,100,100,98,100,100,81,96
1714968,100,73,75,79,82,50,69,38,0
1715004,100,100,100,98,81,100,80,90,0
1715299,100,100,100,96,69,88,96,85,81
1715600,0,0,0,0,0,0,0,0,0
1715830,100,96,94,34,70,85,0,0,0
1716523,100,98,100,100,95,100,100,88,95
1716564,100,25,40,0,1,18,0,0,0
1717740,100,100,100,0,96,88,100,0,0
1717881,100,31,100,96,56,70,100,50,0
1717987,50,31,0,15,40,18,91,100,2
1718677,10,28,0,0,21,0,0,91,0
1718684,100,100,100,96,96,92,100,55,80
1718916,100,100,100,88,88,88,100,84,10
1719944,50,88,15,0,37,0,0,18,0
1719949,100,84,50,54,70,82,100,0,17
1720199,100,84,75,78,85,90,100,58,13
1720627,100,92,95,86,82,82,100,71,37
1721006,100,0,55,52,38,67,60,75,25
1721092,100,98,100,0,0,88,13,88,100
1721270,100,100,100,96,97,52,73,68,0
1721783,100,100,100,57,87,92,100,0,47
1723790,100,43,100,91,82,50,19,0,57
1723902,100,72,75,92,84,71,79,80,0
1724731,100,80,100,58,46,77,77,66,0
1724811,100,10,80,88,56,72,80,62,10
1725105,100,100,100,100,90,100,100,90,70
1725372,100,0,0,0,0,0,0,0,0
1725524,90,100,100,100,94,100,90,71,0
1726166,100,31,60,28,0,35,90,73,77
1726366,100,100,100,99,93,100,100,53,44
1726612,100,100,100,54,88,50,96,0,0
1726770,100,100,100,92,95,96,100,0,67
1726816,100,92,75,76,81,40,91,0,32
1727439,100,100,100,96,89,96,100,0,0
1727440,100,76,100,92,95,50,24,78,75
